,num_expediente,fecha,hora,localizacion,numero,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
1285,2020S009086,27/06/2020,18:25:00,"CALL. GINZO DE LIMIA, 33",33,FUENCARRAL-EL PARDO,Atropello a persona,Clear,Bicicleta,Peatón,De 45 a 49 años,Mujer,7.0,40.47818959519822,-3.7041880699409004,N,
1286,2020S009123,29/06/2020,13:30:00,PASEO. SAN FRANCISCO DE SALES / CALL. GUZMAN EL BUENO,1,CHAMBERÍ,Caída,Clear,Bicicleta,Conductor,De 18 a 20 años,Hombre,7.0,40.43983654950609,-3.717089127578449,N,
1287,2020S009133,01/07/2020,9:05:00,PQUE. CASA DE CAMPO / PNTE. CASTILLA,0,MONCLOA-ARAVACA,Colisión frontal,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,1.0,40.448713342064394,-3.762097422971425,N,
1288,2020S009133,01/07/2020,9:05:00,PQUE. CASA DE CAMPO / PNTE. CASTILLA,0,MONCLOA-ARAVACA,Colisión frontal,Clear,Bicicleta,Conductor,De 45 a 49 años,Hombre,2.0,40.448713342064394,-3.762097422971425,N,
1289,2020S009162,30/06/2020,20:10:00,"CALL. ALCALA, 45",45,CENTRO,Alcance,Clear,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,,40.419109936020625,-3.696280131876862,N,
1290,2020S009171,01/07/2020,20:30:00,"CALL. LA DILIGENCIA, 4A",4A,PUENTE DE VALLECAS,Caída,Clear,Bicicleta EPAC (pedaleo asistido),Conductor,De 10 a 14 años,Mujer,7.0,40.38298604364375,-3.6623183037325466,N,
1291,2020S009172,01/07/2020,20:55:00,"CMNO. MAGDALENA, 24B",24B,VILLA DE VALLECAS,Caída,Clear,Bicicleta,Conductor,De 18 a 20 años,Hombre,1.0,40.35422826544132,-3.65023709639602,N,
1292,2020S009199,02/07/2020,15:42:00,CALL. SAN BERNARDO / CALL. SAN HERMENEGILDO,85,CENTRO,Colisión fronto-lateral,Clear,Bicicleta EPAC (pedaleo asistido),Conductor,De 50 a 54 años,Hombre,2.0,40.42844426785985,-3.7063373855622506,N,
1293,2020S009205,02/07/2020,14:30:00,CALL. GUZMAN EL BUENO / CALL. FERNANDO EL CATOLICO,34,CHAMBERÍ,Caída,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,7.0,40.434375056877606,-3.713077788799369,N,
1294,2020S009217,02/07/2020,21:35:00,"CALL. ALMAGRO, 29",29,CHAMBERÍ,Caída,Clear,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,2.0,40.43209211105167,-3.6919920782562383,N,
